City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
166,tura,25.5198,90.2201,23.37,77,0,0.52,IN,2023-10-19
167,darlington,54.5243,-1.5504,11.94,84,100,8.75,GB,2023-10-19
168,wau,7.7029,27.9953,22.85,85,66,1.07,SS,2023-10-19
169,ipira,-12.1583,-39.7372,20.25,79,100,4.35,BR,2023-10-19
170,tsiombe,-25.3,45.4833,20.86,93,100,2.34,MG,2023-10-19
171,kolonia town,6.964,158.206,34.0,62,75,2.57,FM,2023-10-19
172,hadibu,12.65,54.0333,27.36,79,2,1.92,YE,2023-10-19
173,lycksele,64.5954,18.6735,-6.07,93,7,3.09,SE,2023-10-19
174,zhytkavichy,52.2168,27.8561,3.25,90,82,2.51,BY,2023-10-19
175,wenxing,28.6667,112.8833,24.16,54,63,4.29,CN,2023-10-19
176,hawaiian paradise park,19.5933,-154.9731,28.18,74,75,2.57,US,2023-10-19
177,vilyuchinsk,52.9306,158.4028,14.15,66,30,5.56,RU,2023-10-19
178,yamba,-5.9,22.3,21.19,93,100,0.25,CD,2023-10-19
179,kirensk,57.7853,108.1119,0.57,95,100,0.89,RU,2023-10-19
180,aldama,22.9167,-98.0667,23.77,71,100,0.97,MX,2023-10-19
181,hassi messaoud,31.6804,6.0729,18.92,26,0,1.54,DZ,2023-10-19
182,maintirano,-18.0667,44.0167,24.82,79,20,2.28,MG,2023-10-19
183,albacete,38.8333,-2.0,15.45,72,0,5.14,ES,2023-10-19
184,kristiansund,63.1115,7.732,4.36,52,0,5.14,NO,2023-10-19
185,kargasok,59.0556,80.8572,8.87,91,22,4.02,RU,2023-10-19
186,enewetak,11.3474,162.3373,28.93,76,85,8.81,MH,2023-10-19
187,yambio,4.5721,28.3955,19.76,97,100,0.73,SS,2023-10-19
188,birobidzhan,48.8,132.95,7.12,55,98,5.21,RU,2023-10-19
189,kodiak,57.79,-152.4072,8.73,43,0,11.32,US,2023-10-19
190,touros,-5.1989,-35.4608,25.04,76,39,5.25,BR,2023-10-19
191,isangel,-19.55,169.2667,24.06,88,100,3.09,VU,2023-10-19
192,frontera,26.9333,-101.45,24.94,42,59,0.89,MX,2023-10-19
193,nova vicosa,-17.8919,-39.3719,23.74,79,5,3.02,BR,2023-10-19
194,yaren,-0.5472,166.916,27.45,76,100,7.15,NR,2023-10-19
195,san luis de la loma,17.2706,-100.8939,23.8,93,100,2.37,MX,2023-10-19
196,mejit,10.2753,170.8646,28.04,74,99,8.45,MH,2023-10-19
